Name,Nation,Position,Club,Age,GK Rating,DL Rating,DC Rating,DR Rating,DM Rating,ML Rating,MC Rating,MR Rating,AML Rating,AMC Rating,AMR Rating,FS Rating,TS Rating,Unique ID,Вибір
"Asprilla, Yaser",Колумбия,"AM RLC, F C",Watford,19,27.27%,53.13%,45.82%,53.13%,52.04%,72.54%,67.88%,73.46%,75.52%,71.97%,76.06%,73.68%,69.07%,2000053239,0
"Namaso, Danny",Англия / Камерун,"AM RLC, F C",FC Porto,22,31.97%,52.55%,46.17%,52.55%,51.95%,69.27%,63.58%,68.74%,75.22%,72.29%,74.30%,76.05%,72.41%,29165730,0
Costinha,Португалия,D/WB R,Rio Ave,23,32.16%,60.84%,53.82%,76.05%,56.45%,56.82%,56.19%,69.34%,56.82%,50.42%,68.60%,54.56%,52.84%,83244144,0
"Stenzel, Pascal",Германия,D RC,VfB Stuttgart,27,31.44%,72.53%,69.11%,76.05%,70.63%,68.48%,70.40%,71.02%,63.72%,53.59%,65.75%,55.45%,56.06%,92065838,0
"Pearson, Ben",Англия,DM,Stoke,28,35.10%,61.39%,57.64%,61.39%,76.05%,58.44%,75.78%,58.44%,58.44%,55.11%,58.44%,57.16%,55.67%,28066818,0
"Tutino, Gennaro",Италия,"AM RLC, F C",Cosenza,26,29.39%,49.80%,42.06%,49.80%,50.27%,67.92%,54.59%,67.20%,73.76%,71.85%,72.86%,76.05%,69.37%,43112505,0
"Affengruber, David",Австрия,D C,SK Sturm Graz,22,33.84%,59.70%,76.04%,59.70%,70.32%,54.33%,68.45%,54.33%,54.33%,48.91%,54.33%,51.75%,55.48%,16202375,0
"Ishak, Mikael",Швеция / Сирия,ST,Lech,30,30.86%,54.00%,50.97%,54.00%,54.63%,63.21%,56.25%,63.21%,68.03%,62.60%,68.03%,74.52%,76.04%,93012226,0
"Kiese Thelin, Isaac",Швеция / ДР Конго,ST,Malmo FF,31,32.84%,54.39%,55.13%,54.39%,55.35%,62.80%,56.03%,62.80%,67.83%,62.26%,67.83%,73.00%,76.04%,93034879,0
Rodrigao,Бразилия,D C,Zenit,27,32.88%,56.93%,76.04%,56.93%,56.11%,50.91%,53.60%,50.91%,50.91%,46.83%,50.91%,49.89%,54.50%,19319320,0
"Nedyalkov, Anton",Болгария,D LC,Ludogorets,30,33.32%,76.04%,68.78%,72.52%,67.99%,68.22%,56.32%,56.85%,63.11%,50.21%,56.85%,54.49%,54.93%,22033474,0
"Rieder, Fabian",Швейцария,AM C,Rennes,21,34.84%,59.75%,50.51%,59.75%,67.25%,74.78%,76.04%,74.22%,69.23%,74.32%,68.79%,61.09%,56.75%,84152512,0
"Demme, Diego",Германия / Италия,DM,Parthenope,31,33.78%,62.79%,57.84%,62.79%,76.04%,68.50%,74.69%,68.50%,63.42%,52.81%,63.42%,55.18%,54.02%,92023691,0
"Meyer, Max",Германия,AM LC,Luzern,27,31.97%,58.90%,47.41%,58.90%,69.26%,76.03%,74.80%,73.39%,75.68%,73.61%,74.88%,71.92%,65.50%,91100536,0
"Kittel, Sonny",Германия / Польша,AM RLC,Western Sydney Wanderers,30,30.48%,54.47%,43.79%,54.47%,52.78%,73.96%,71.12%,73.03%,76.03%,74.40%,75.10%,72.22%,63.73%,92019045,0
"Arezo, Matias",Уругвай,ST,Granada,20,30.27%,55.16%,49.72%,55.16%,53.22%,60.31%,55.05%,60.31%,60.31%,56.11%,60.31%,76.03%,73.68%,78094563,0
Leo Bonatini,Бразилия / Италия,ST,At. San Luis,29,33.21%,54.73%,50.45%,54.73%,55.82%,60.85%,58.41%,60.85%,60.85%,68.63%,60.85%,76.03%,75.39%,19143371,0
"Odobert, Wilson",Франция / Мартиника,AM RL,Burnley,18,31.83%,52.91%,44.10%,52.91%,50.99%,76.03%,55.60%,75.49%,76.03%,57.79%,75.49%,73.10%,67.09%,2000102722,0
"Allende, Marcelo",Чили,AM RLC,Sundowns,24,31.89%,56.16%,42.45%,56.16%,62.56%,74.57%,70.44%,74.57%,76.03%,71.50%,75.76%,73.60%,62.79%,75039726,0
"Belloumi, Mohamed",Алжир,AM R,Farense,21,28.58%,53.25%,43.04%,53.25%,51.65%,73.43%,56.42%,73.43%,74.22%,58.53%,76.03%,61.52%,55.18%,2000184286,0
"Richter, Marco",Германия,AM RLC,Mainz 05,25,32.63%,58.47%,50.07%,68.62%,56.29%,73.43%,69.57%,74.57%,74.89%,68.94%,76.03%,73.13%,69.92%,91155514,0
"Cetin, Mert",Турция,D C,Ankaragucu,26,29.96%,56.75%,76.02%,56.75%,64.92%,50.57%,52.61%,50.57%,50.57%,46.11%,50.57%,48.42%,52.61%,70101102,0
Javi Sanchez,Испания,D C,Valladolid,26,32.93%,56.95%,76.02%,56.95%,55.07%,48.89%,52.04%,48.89%,48.89%,42.86%,48.89%,47.33%,54.24%,67216745,0
"Muric, Arijanet",Косово / Черногория / Швейцария,GK,Burnley,24,76.02%,41.72%,47.41%,41.72%,45.69%,44.31%,45.83%,44.31%,44.31%,41.59%,44.31%,42.43%,45.92%,28108492,0
"Turati, Stefano",Италия,GK,Frosinone,21,76.02%,44.24%,45.10%,44.24%,47.63%,46.66%,48.05%,46.66%,46.66%,43.76%,46.66%,46.52%,48.77%,43378804,0
"Abdul Samed, Salis",Гана,DM,RC Lens,23,34.42%,63.73%,60.94%,63.73%,76.02%,59.98%,75.33%,59.98%,59.98%,54.02%,59.98%,56.44%,57.71%,49060803,0
"Vega, Alexis",Мексика,"AM RLC, F C",Toluca,25,31.32%,53.69%,50.74%,53.69%,52.91%,68.73%,55.46%,68.73%,74.63%,69.08%,74.63%,76.02%,75.11%,51054788,0
"Meunier, Thomas",Бельгия,D/WB/M R,Trabzonspor,31,30.44%,72.50%,67.99%,76.02%,68.81%,71.07%,70.23%,74.25%,71.07%,61.89%,73.12%,68.60%,71.02%,18043393,0
"Chardonnet, Brendan",Франция,D C,Brest,28,33.86%,69.29%,76.01%,70.39%,68.33%,54.16%,55.68%,54.16%,54.16%,48.80%,54.16%,51.73%,55.92%,85139266,0
"van der Hoorn, Mike",Голландия,D C,FC Utrecht,30,30.26%,57.25%,76.01%,65.81%,54.59%,50.64%,51.96%,50.64%,50.64%,45.13%,50.64%,48.94%,53.73%,37027601,0
"Molumby, Jayson",Ирландия,DM,West Brom,23,35.02%,62.70%,56.77%,62.70%,74.30%,59.96%,76.01%,59.96%,59.96%,67.24%,59.96%,58.18%,57.10%,29156202,0
"Hladky, Vaclav",Чехия,GK,Ipswich,32,76.00%,45.35%,47.69%,45.35%,47.27%,45.43%,46.61%,45.43%,45.43%,45.29%,45.43%,45.13%,44.52%,25017111,0
"Miovski, Bojan",Северная Македония,ST,Aberdeen,24,29.40%,50.64%,45.03%,50.64%,50.36%,62.22%,54.67%,58.84%,66.74%,66.71%,58.84%,76.00%,71.67%,47076732,0
"Aravena, Alexander",Чили,"AM RL, ST",Univ. Catolica,20,29.96%,53.05%,41.41%,53.05%,52.39%,68.58%,55.88%,68.84%,74.35%,70.40%,74.68%,75.99%,68.19%,75055397,0
"Lerma, Jefferson",Колумбия,DM,Crystal Palace,28,34.47%,63.48%,72.47%,75.67%,75.99%,59.92%,75.41%,71.90%,59.92%,63.95%,66.51%,57.00%,59.56%,76038475,0
"Palencia, Sergi",Испания,D/WB RL,LAFC,27,33.92%,74.86%,64.06%,75.99%,57.47%,56.39%,56.90%,56.39%,56.39%,51.21%,56.39%,54.81%,50.98%,67198782,0
"Krejci, Ladislav",Чехия,"D C, DM",Sparta Prague,24,32.83%,62.06%,75.99%,62.06%,75.52%,58.15%,59.01%,58.15%,58.15%,62.11%,58.15%,57.06%,59.80%,25055083,0
"Paciencia, Goncalo",Португалия,ST,VfL Bochum,28,28.79%,51.85%,52.46%,51.85%,52.69%,57.38%,53.98%,57.38%,57.38%,66.52%,57.38%,73.56%,75.99%,55028073,0
"Batth, Danny",Англия / Индия,D C,Norwich,32,29.37%,53.53%,75.99%,53.53%,52.89%,43.86%,48.09%,43.86%,43.86%,37.39%,43.86%,43.57%,52.25%,28017279,0
"Leistner, Toni",Германия,D C,Hertha BSC,32,31.60%,56.00%,75.99%,65.72%,65.22%,48.12%,51.77%,48.12%,48.12%,42.18%,48.12%,46.38%,53.37%,92035547,0
"Talbi, Montassar",Тунис / Франция,D C,FC Lorient,25,33.70%,60.43%,75.99%,60.43%,58.42%,56.49%,57.55%,56.49%,56.49%,51.42%,56.49%,54.27%,57.14%,13198535,0
"Toure, El Bilal",Мали / Кот-д'Ивуар,ST,Atalanta,21,32.89%,54.87%,50.77%,54.87%,54.08%,59.56%,55.95%,65.74%,59.56%,68.24%,71.00%,75.98%,74.90%,12081007,0
"Waldschmidt, Luca",Германия,"AM RLC, F C",1. FC Koln,27,31.81%,53.05%,47.02%,53.05%,53.29%,71.90%,66.22%,71.90%,73.94%,73.42%,73.94%,75.98%,71.88%,91119468,0
"Schafer, Andras",Венгрия,DM,Union Berlin,24,32.03%,62.77%,56.82%,73.66%,74.68%,73.87%,75.98%,73.87%,73.87%,68.57%,73.87%,58.51%,57.53%,38045397,0
"Szymanski, Damian",Польша,DM,AEK,28,33.89%,63.38%,73.00%,63.38%,75.97%,58.76%,73.93%,58.76%,58.76%,51.79%,58.76%,56.44%,58.41%,96067434,0
"Sessegnon, Ryan",Англия / Кот-д'Ивуар,D/WB/AM L,Tottenham,23,33.98%,75.19%,47.01%,60.36%,56.23%,75.37%,58.93%,67.56%,75.97%,57.10%,72.97%,59.08%,52.91%,29165656,0
"Balbuena, Fabian",Парагвай,D C,Dinamo Moscow,31,30.67%,57.72%,75.97%,57.72%,56.10%,49.92%,52.14%,49.92%,49.92%,44.37%,49.92%,47.95%,53.13%,79013838,0
"McKenna, Scott",Шотландия,D C,FC Kobenhavn,26,32.78%,57.45%,75.97%,57.45%,55.44%,50.09%,52.28%,50.09%,50.09%,45.05%,50.09%,48.18%,53.42%,61064267,0
Marcos Antonio,Бразилия,DM,PAOK,23,36.46%,62.16%,50.85%,62.16%,74.92%,62.60%,75.97%,62.60%,62.60%,60.33%,62.60%,62.39%,54.48%,19337942,0
"Miazga, Matt",США / Польша,D C,Cincinnati,27,32.58%,58.04%,75.96%,58.04%,67.59%,51.60%,53.71%,51.60%,51.60%,46.87%,51.60%,51.21%,55.38%,72040390,0
"Schade, Kevin",Германия,"AM RLC, F C",Brentford,21,30.66%,53.40%,46.10%,53.40%,51.00%,72.45%,54.81%,72.45%,75.43%,70.14%,75.96%,75.46%,71.24%,91208050,0
"Iglesias, Juan",Испания,D/WB R,Getafe,25,33.14%,73.62%,55.46%,75.96%,56.88%,70.94%,57.45%,72.24%,65.68%,53.86%,72.61%,67.42%,65.36%,67235978,0
"Rossi, Agustin",Аргентина,GK,FLA,27,75.96%,43.69%,45.62%,43.69%,47.53%,45.51%,47.33%,45.51%,45.51%,43.30%,45.51%,44.31%,46.79%,14101872,0
"Jahanbakhsh, Alireza",Иран,AM RLC,Feyenoord,29,29.25%,53.16%,45.78%,53.16%,53.24%,75.42%,56.74%,75.69%,75.42%,71.28%,75.96%,73.84%,69.81%,37044889,0
Lucas Moura,Бразилия,"AM RLC, F C",SPO,30,32.51%,56.80%,48.05%,56.80%,54.29%,68.71%,64.80%,75.96%,74.50%,69.82%,75.96%,74.07%,70.96%,19073564,0
"Camara, Mohamed",Мали,DM,AS Monaco,23,35.94%,63.25%,57.66%,63.25%,75.69%,59.81%,75.95%,59.81%,59.81%,55.29%,59.81%,58.67%,56.89%,13193983,0
"Chaibi, Fares",Алжир / Франция,AM RLC,Eintracht Frankfurt,20,31.14%,57.47%,49.20%,57.47%,66.44%,74.47%,72.58%,74.47%,75.95%,73.42%,75.95%,73.10%,67.63%,49060523,0
"Praet, Dennis",Бельгия,AM RC,Leicester,29,33.38%,59.90%,52.94%,59.90%,71.36%,74.88%,75.13%,74.88%,74.47%,72.91%,75.95%,60.66%,56.46%,18045342,0
"Diaz, Nicolas",Чили,D LC,Tijuana,24,33.23%,75.95%,72.39%,61.68%,56.96%,55.79%,55.25%,55.79%,55.79%,48.24%,55.79%,52.71%,53.88%,75049650,0
"Sudakov, Heorhii",Украина,AM LC,Shakhtar,20,33.56%,58.36%,50.16%,58.36%,57.90%,69.57%,75.95%,61.52%,75.43%,72.56%,61.52%,72.48%,68.50%,71108249,0
"Bidstrup, Mads",Дания,DM,FC RB Salzburg,22,34.14%,63.04%,55.21%,63.04%,75.52%,72.53%,75.95%,73.46%,67.15%,64.05%,67.89%,58.11%,55.96%,27139716,0
"O'Hare, Callum",Англия / Ирландия,"AM RLC, F C",Coventry,25,31.33%,59.32%,46.36%,59.32%,56.32%,70.05%,73.14%,70.05%,75.95%,73.39%,75.95%,74.28%,65.70%,28100016,0
"Dieng, Aliou",Мали,DM,Al-Ahly,25,33.66%,63.34%,57.68%,63.34%,75.95%,58.07%,75.21%,58.07%,58.07%,53.47%,58.07%,56.52%,55.72%,13162806,0
"Moncayola, Jon",Испания / Страна Басков,DM,Atletico Pamplona,25,35.17%,61.70%,58.47%,61.70%,75.95%,59.73%,75.65%,59.73%,59.73%,54.78%,59.73%,58.28%,58.87%,67267210,0
"Insua, Pablo",Испания,D C,S. Gijon,29,32.75%,60.36%,75.94%,60.36%,58.66%,55.24%,56.62%,55.24%,55.24%,51.30%,55.24%,53.51%,55.05%,67139775,0
Pablo Maia,Бразилия,DM,SPO,21,35.34%,63.34%,68.03%,63.34%,75.94%,58.85%,74.32%,58.85%,58.85%,54.58%,58.85%,56.96%,55.68%,19375656,0
"Ljajic, Adem",Сербия,AM LC,Novi Pazar,31,30.90%,50.96%,41.12%,50.96%,51.01%,68.80%,67.86%,67.89%,74.59%,75.94%,73.46%,60.13%,52.65%,62012544,0
"Lees-Melou, Pierre",Франция,DM,Brest,30,35.05%,63.41%,54.26%,63.41%,75.77%,68.89%,75.94%,75.34%,74.47%,70.42%,74.92%,60.09%,56.28%,48034511,0
"Dawidowicz, Pawel",Польша,D C,Hellas Verona,28,30.01%,57.80%,75.93%,69.36%,66.73%,50.33%,62.23%,50.33%,50.33%,44.00%,50.33%,47.70%,53.69%,96044665,0
"Herrmann, Patrick",Германия,AM RL,Borussia M'gladbach,32,32.17%,57.23%,48.09%,69.10%,55.21%,74.12%,57.79%,75.39%,74.47%,68.22%,75.93%,72.30%,67.63%,35017417,0
"Cuypers, Hugo",Бельгия,ST,Chicago,26,34.61%,57.89%,54.26%,57.89%,57.56%,66.52%,58.30%,67.25%,71.85%,66.60%,72.77%,75.69%,75.93%,18089273,0
"Dest, Sergino",США / Голландия,D/WB RL,PSV,22,35.12%,75.65%,48.42%,75.92%,55.45%,74.65%,57.66%,74.65%,73.79%,56.89%,73.79%,58.82%,52.31%,37065767,0
"Gollini, Pierluigi",Италия,GK,Parthenope,28,75.92%,44.46%,48.23%,44.46%,47.49%,44.84%,46.48%,44.84%,44.84%,40.29%,44.84%,42.80%,48.64%,43090278,0
"Heuer Fernandes, Daniel",Португалия / Германия,GK,HSV,30,75.92%,47.26%,49.36%,47.26%,50.01%,49.05%,50.13%,49.05%,49.05%,47.53%,49.05%,47.93%,49.82%,91013663,0
"Miley, Lewis",Англия,"DM, AM C",Newcastle,17,33.79%,61.52%,57.52%,61.52%,73.15%,61.76%,75.92%,61.76%,61.76%,70.54%,61.76%,60.30%,59.31%,2000189871,0
"Pieringer, Marvin",Германия,AM/F C,Heidenheim,23,31.02%,53.89%,53.83%,53.89%,54.27%,69.76%,67.75%,69.76%,70.65%,67.96%,70.65%,74.59%,75.91%,91190216,0
Mike Tresor,Бельгия / Бурунди,AM LC,Burnley,24,32.47%,56.55%,49.13%,56.55%,54.45%,70.02%,57.37%,67.91%,75.91%,72.40%,73.27%,72.73%,67.81%,18101818,0
"Schmitz, Benno",Германия,D/WB RL,1. FC Koln,28,33.40%,74.78%,67.26%,75.91%,69.30%,56.97%,67.86%,67.92%,56.97%,50.21%,62.88%,53.61%,54.11%,91126210,0
"Uth, Mark",Германия,AM/F C,1. FC Koln,31,31.33%,55.00%,50.45%,55.00%,54.82%,67.57%,65.08%,67.57%,73.10%,72.19%,73.10%,75.91%,73.05%,91014816,0
"Cooper, Liam",Шотландия / Англия,D C,Leeds,31,33.21%,70.25%,75.91%,57.87%,56.33%,50.38%,53.54%,50.38%,50.38%,44.95%,50.38%,48.48%,53.35%,28020241,0
"Palmer, Ollie",Англия,ST,Wrexham,31,29.49%,52.00%,54.73%,52.00%,55.82%,54.71%,54.51%,54.71%,54.71%,50.40%,54.71%,68.88%,75.90%,89015909,0
"Saravia, Renzo",Аргентина,D/WB R,ATM,30,32.70%,72.87%,52.64%,75.90%,57.20%,60.73%,58.15%,60.73%,60.73%,56.26%,60.73%,58.36%,54.93%,14046848,0
Marlon,Бразилия,D C,FLU,27,32.63%,59.95%,75.90%,71.48%,69.13%,55.74%,56.90%,55.74%,55.74%,51.66%,55.74%,53.78%,56.65%,19189110,0
"Boli, Franck",Кот-д'Ивуар,ST,At. San Luis,29,31.97%,54.43%,47.66%,54.43%,53.33%,64.68%,55.78%,64.68%,69.71%,55.01%,69.71%,75.89%,73.17%,53075025,0
Gabriel,Бразилия,GK,CTB,30,75.89%,37.56%,41.95%,37.56%,40.17%,37.38%,38.49%,37.38%,37.38%,34.40%,37.38%,35.91%,40.58%,19122782,0
"Glazer, Omri",Израиль / Румыния,GK,Crvena zvezda,27,75.89%,46.84%,46.44%,46.84%,50.90%,48.93%,50.86%,48.93%,48.93%,45.91%,48.93%,46.60%,48.48%,42058059,0
"Zoubir, Abdellah",Франция / Марокко,AM RLC,Qarabag,31,28.80%,51.42%,41.37%,51.42%,58.01%,73.30%,65.81%,73.30%,75.89%,71.16%,75.35%,69.71%,64.10%,85096019,0
Willian Arao,Бразилия,"D C, DM",Panathinaikos,31,33.01%,61.09%,75.89%,61.09%,74.76%,56.72%,71.54%,56.72%,56.72%,52.23%,56.72%,56.42%,59.44%,19073567,0
"Ndombele, Tanguy",Франция / ДР Конго,DM,Galatasaray,26,32.71%,58.91%,53.68%,58.91%,72.72%,62.72%,75.88%,62.72%,62.72%,74.72%,62.72%,62.45%,59.64%,85128159,0
Wesley Moraes,Бразилия,ST,Stoke,26,31.87%,54.09%,54.24%,54.09%,55.33%,57.08%,55.63%,57.08%,57.08%,62.17%,57.08%,71.86%,75.88%,63028929,0
"Meite, Soualiho",Франция / Кот-д'Ивуар,DM,PAOK,29,33.84%,61.63%,59.77%,61.63%,75.88%,61.08%,75.70%,61.08%,61.08%,68.40%,61.08%,59.35%,60.95%,85049379,0
"Rico, Diego",Испания,D/WB L,Getafe,30,33.69%,75.88%,67.30%,60.70%,57.83%,72.65%,58.42%,60.17%,67.15%,53.81%,60.17%,57.20%,57.87%,67149986,0
"Kokorin, Alexandr",Россия,"AM RC, F C",Aris Limassol,32,32.33%,56.66%,52.60%,56.66%,55.86%,71.05%,68.44%,73.87%,73.09%,69.72%,74.86%,75.88%,74.82%,58030755,0
"Hamer, Gustavo",Голландия / Бразилия,DM,Sheff Utd,26,32.66%,74.80%,55.67%,74.80%,74.85%,73.60%,75.88%,74.53%,68.14%,70.67%,68.89%,60.98%,58.55%,37050681,0
"Moreno, Anibal",Аргентина,DM,SEP,24,34.11%,62.32%,56.15%,62.32%,75.10%,61.32%,75.87%,61.32%,61.32%,69.95%,61.32%,59.40%,57.09%,14204631,0
"Kumbulla, Marash",Албания / Италия,D C,Sassuolo,23,30.74%,58.46%,75.87%,67.95%,56.05%,51.06%,53.36%,51.06%,51.06%,45.47%,51.06%,49.81%,55.06%,43296495,0
"Diaz, Paulo",Чили,D RC,River,28,33.19%,71.94%,74.36%,75.87%,70.50%,56.72%,57.55%,56.72%,56.72%,51.22%,56.72%,55.14%,56.70%,75032761,0
"Carrascal, Jorge",Колумбия,AM LC,Dinamo Moscow,25,32.74%,52.61%,42.26%,52.61%,50.19%,73.94%,67.14%,72.61%,75.87%,73.88%,74.32%,73.86%,64.94%,76040911,0
"Caktas, Mijo",Хорватия,AM/F C,Sivasspor,31,26.88%,48.52%,42.60%,48.52%,57.88%,71.74%,66.18%,70.62%,72.66%,74.72%,65.52%,75.86%,69.67%,24016885,0
"Yaremchuk, Roman",Украина,ST,Valencia,27,31.20%,50.41%,48.21%,50.41%,52.50%,68.51%,56.79%,68.51%,74.23%,71.44%,74.23%,75.85%,75.25%,71068795,0
"Tokoz, Dorukhan",Турция,"D R, DM",Adana D.S.,27,32.83%,61.11%,58.29%,75.85%,74.84%,56.17%,73.22%,56.17%,56.17%,50.46%,56.17%,53.86%,55.56%,70097267,0
"Mattheij, Jurgen",Голландия,D C,CSKA-Sofia,30,32.42%,57.30%,75.85%,69.18%,56.50%,51.33%,53.34%,51.33%,51.33%,45.71%,51.33%,49.62%,55.49%,37027058,0
"Nastasic, Matija",Сербия,D C,Mallorca,30,33.57%,71.86%,75.85%,58.89%,57.42%,52.01%,54.55%,52.01%,52.01%,46.85%,52.01%,49.13%,53.64%,62055271,0
"Kyriakopoulos, Giorgos",Греция,D/WB/AM L,Brianza,27,31.44%,75.85%,53.79%,60.68%,57.34%,75.09%,59.01%,60.73%,74.79%,55.50%,60.73%,58.46%,56.01%,36090959,0
"Chair, Ilias",Марокко / Польша / Бельгия,AM LC,QPR,25,30.93%,54.59%,41.61%,54.59%,53.20%,74.57%,69.86%,74.57%,75.85%,73.17%,74.57%,73.34%,64.79%,18089606,0
"Vallejo, Jesus",Испания,D C,Granada,26,34.90%,60.72%,75.85%,73.72%,70.63%,55.07%,56.63%,55.07%,55.07%,51.39%,55.07%,52.95%,54.28%,67192921,0
"Sobottka, Marcel",Германия,DM,Dusseldorf,29,33.76%,73.83%,71.22%,73.83%,75.85%,56.93%,73.48%,56.93%,56.93%,62.38%,56.93%,55.30%,56.16%,91137381,0
"Eysseric, Valentin",Франция,M C,Fatih Karagumruk,31,33.12%,55.43%,46.78%,55.43%,55.47%,75.85%,73.36%,74.10%,75.85%,73.14%,75.04%,72.28%,66.82%,85010867,0
"Paes, Maarten",Голландия / США,GK,FC Dallas,25,75.84%,41.51%,45.08%,41.51%,45.50%,42.81%,45.56%,42.81%,42.81%,40.80%,42.81%,40.18%,42.90%,37061970,0
Ez Abde,Марокко / Испания,"AM RL, ST",Real Hispalis,21,32.12%,52.95%,43.82%,52.95%,50.62%,74.71%,54.43%,74.38%,75.84%,70.14%,75.58%,75.06%,67.94%,2000054872,0
"Bella-Kotchap, Armel",Германия / Камерун,D C,PSV,21,34.05%,60.27%,75.83%,70.73%,67.23%,54.29%,55.17%,54.29%,54.29%,48.94%,54.29%,52.45%,55.91%,92102718,0
"Darida, Vladimir",Чехия,"DM, AM C",Aris,32,33.53%,59.77%,48.06%,59.77%,73.41%,60.24%,75.83%,60.24%,60.24%,68.16%,60.24%,58.69%,54.42%,25019899,0
"Roofe, Kemar",Ямайка / Англия,"AM RLC, F C",Rangers,30,27.80%,49.43%,40.95%,49.43%,49.36%,72.90%,53.89%,72.53%,74.42%,70.08%,74.42%,75.83%,71.76%,28049809,0
"Mellot, Jeremy",Франция,D/WB RL,Tenerife,29,31.74%,74.37%,64.90%,75.82%,56.86%,56.36%,56.61%,67.19%,56.36%,50.28%,62.21%,53.51%,52.21%,49037109,0
"Yamane, Miki",Япония,D RC,LA Galaxy,29,33.01%,73.64%,71.88%,75.82%,64.88%,66.68%,56.70%,66.68%,61.87%,53.08%,61.87%,54.85%,54.09%,45101196,0
"Adli, Amine",Марокко / Франция,AM RLC,Bayer 04,23,30.51%,55.46%,48.05%,55.46%,53.06%,73.23%,67.51%,73.23%,75.82%,70.20%,75.29%,73.94%,69.54%,49037698,0
"Goutas, Dimitris",Греция,D C,Cardiff,29,31.51%,58.43%,75.82%,58.43%,56.19%,51.40%,53.71%,51.40%,51.40%,46.34%,51.40%,50.61%,54.40%,36057480,0
"Onisiwo, Karim",Австрия / Нигерия,AM/F C,Mainz 05,31,29.76%,57.71%,53.64%,57.71%,56.81%,71.03%,67.77%,71.03%,72.70%,65.93%,71.93%,74.36%,75.82%,16037392,0
"Al-Ghanam, Sultan",Саудовская Аравия,D/WB R,Al-Nassr (KSA),29,32.98%,60.65%,51.60%,75.82%,66.51%,58.82%,68.54%,71.41%,58.82%,53.69%,65.95%,56.17%,52.68%,23374871,0
"Lazo, Jose Carlos",Испания,AM RLC,Espanyol,27,31.63%,49.20%,39.10%,49.20%,47.37%,74.99%,63.45%,74.36%,75.82%,74.85%,74.68%,62.11%,53.32%,67211906,0
"Vavro, Denis",Словакия,D C,FC Kobenhavn,27,32.03%,59.26%,75.81%,71.94%,56.73%,53.53%,54.82%,53.53%,53.53%,46.30%,53.53%,51.13%,56.35%,63025710,0
"Velazquez, Emiliano",Уругвай,D RC,Nacional,29,32.15%,60.95%,75.81%,74.73%,58.39%,56.77%,57.25%,56.77%,56.77%,50.67%,56.77%,54.72%,57.84%,78043774,0
"Mannsverk, Sivert",Норвегия,DM,Ajax,21,36.89%,63.66%,71.70%,63.66%,75.81%,60.12%,75.11%,60.12%,60.12%,55.03%,60.12%,57.59%,57.52%,53159880,0
"Khazri, Wahbi",Тунис / Франция,"AM LC, F C",Montpellier,32,30.40%,52.02%,44.12%,52.02%,52.42%,69.81%,56.01%,68.16%,75.81%,73.34%,73.74%,74.75%,69.41%,34011589,0
"Sanchez, Richard",Парагвай,DM,America,27,33.09%,60.06%,53.48%,60.06%,73.03%,61.01%,75.81%,73.22%,61.01%,59.09%,67.73%,61.78%,57.45%,79030884,0
"Fraser, Ryan",Шотландия,AM RL,Southampton,29,30.57%,56.07%,41.58%,56.07%,54.58%,75.28%,57.47%,75.28%,75.81%,68.90%,75.81%,72.73%,63.63%,61036775,0
Yuri Alberto,Бразилия,"AM RL, ST",COR,22,31.35%,52.59%,45.44%,52.59%,51.65%,66.74%,54.28%,66.74%,72.36%,55.41%,72.36%,75.80%,72.56%,19326424,0
"Lavi, Neta",Израиль / Португалия,"D C, DM",G-Osaka,26,34.79%,62.53%,72.71%,75.50%,75.80%,60.06%,74.41%,60.06%,60.06%,56.08%,60.06%,58.89%,58.33%,42058467,0
"Anderson, Mikael",Исландия / Дания / Ямайка,AM LC,AGF,25,31.87%,54.06%,43.72%,54.06%,51.98%,74.34%,68.18%,72.77%,75.80%,71.96%,74.00%,72.41%,64.48%,27110041,0
"Mumin, Abdul",Гана / Нигерия,D C,Vallecano,25,35.83%,60.18%,75.80%,70.63%,57.48%,56.86%,56.87%,56.86%,56.86%,53.37%,56.86%,54.73%,55.94%,27128916,0
"Ekkelenkamp, Jurgen",Голландия,AM C,Antwerp,23,32.79%,57.38%,52.94%,57.38%,69.98%,62.78%,75.29%,75.80%,62.78%,72.71%,75.80%,63.94%,63.23%,37064578,0
"Sargent, Josh",США,"AM RC, F C",Norwich,23,31.45%,54.00%,50.68%,54.00%,54.45%,57.58%,55.81%,65.35%,57.58%,65.25%,70.90%,74.21%,75.80%,92092175,0
"Chavez, Luis",Мексика,"DM, M LC",Dinamo Moscow,27,33.89%,60.54%,51.70%,60.54%,71.89%,75.80%,74.47%,75.06%,75.06%,58.01%,69.32%,59.60%,55.72%,51049414,0
"Peretz, Daniel",Израиль / Германия,GK,FC Bayern,23,75.80%,47.76%,49.42%,47.76%,49.01%,46.66%,49.12%,46.66%,46.66%,44.78%,46.66%,44.88%,47.02%,42083355,0
"Cruz, Juan",Испания,"D LC, M L",Atletico Pamplona,30,33.34%,75.80%,68.58%,60.64%,68.14%,70.01%,66.60%,56.86%,67.28%,49.56%,56.86%,52.51%,53.16%,43077014,0
"Venuti, Lorenzo",Италия,D/WB RL,Salento,28,31.04%,74.33%,65.02%,75.79%,56.90%,68.18%,56.75%,56.81%,63.07%,49.88%,56.81%,54.08%,54.30%,43093519,0
